1,Die Infineon Technologies AG mit Sitz in Neubiberg (Landkreis München) ist als börsennotiertes (IFX) Unternehmen der größte Halbleiterhersteller Deutschlands und einer der größten zehn weltweit.,Infineon
1,"Infineon bietet Halbleiter- und Systemlösungen mit Schwerpunkt auf den Themen Energieeffizienz, Mobilität und Sicherheit an.Das Unternehmen gliedert sich in die Geschäftsbereiche Automotive, Industrial Power Control, Power & Sensor Systems sowie Connected Secure Systems.",Infineon
1,Infineon ist weltweiter Marktführer bei Halbleitern für die Automobilindustrie und für Leistungshalbleiter.Das Unternehmen entstand im Jahr 1999 durch die Ausgliederung des Halbleitergeschäfts von Siemens.,Infineon
1,"Mit rund 46.700 Mitarbeitern erzielte Infineon im Geschäftsjahr 2020 (Ende September) einen Umsatz von 8,567 Milliarden Euro.",Infineon
1,"Dabei wird seit April 2020 das Geschäft von Cypress, welches von Infineon übernommen wurde, einbezogen.",Infineon
1,"
Geschäftstätigkeit und Geschäftsbereiche
Aktivitäten nach Geschäftsbereichen
Nach mehreren Umstrukturierungen umfasst Infineon vier Geschäftsbereiche:

Automotive (ATV): Infineon liefert Halbleiterprodukte für den Einsatz im Antriebsstrang (Motor- und Getriebesteuerung), der Komfortelektronik (z.",Infineon
1,B.,Infineon
1,"Lenkung, Dämpfung, Klimaanlage) sowie in Sicherheitssystemen (ABS, Airbag, ESP).",Infineon
1,"Das Produktportfolio umfasst Mikrocontroller, Leistungshalbleiter und Sensoren.",Infineon
1,"Im Geschäftsjahr 2019 (Ende September) belief sich der Umsatz des Segments auf 3,503 Mrd.",Infineon
1,Euro.,Infineon
1,"Industrial Power Control (IPC): In der Industriesparte des Unternehmens sind Leistungshalbleiter und -module gebündelt, die bei Erzeugung, Übertragung und Verbrauch elektrischer Energie zum Einsatz kommen.",Infineon
1,"Zu den Anwendungsfeldern zählen die Steuerung von elektrischen Antrieben für Industrieanwendungen wie zum Beispiel Lokomotiven, Maschinen oder Haushaltsgeräten.",Infineon
1,Die Halbleiter-Komponenten werden darüber hinaus in Modulen für erneuerbare Energieerzeugung in Solar- und Windkraftanlagen sowie Energieübertragung und -wandlung eingesetzt.,Infineon
1,"Im Geschäftsjahr 2019 erzielte IPC einen Umsatz vom 1,418 Mrd.",Infineon
1,Euro.,Infineon
1,Power & Sensor Systems (PSS): Die Division PSS fasst das Geschäft mit Chips für energieeffiziente Stromversorgungen und Hochfrequenz-Anwendungen zusammen.,Infineon
1,"Diese werden vor allem in Konsumgütern wie Fernsehern, Spielekonsolen, PCs, mobilen Endgeräten sowie in Computer-Servern eingesetzt.",Infineon
1,"PMM erwirtschaftete im Geschäftsjahr 2019 einen Umsatz von 2,445 Mrd.",Infineon
1,Euro.,Infineon
1,"Connected Secure Systems (CSS): Der Geschäftsbereich CSS liefert Mikrocontroller für SIM-Karten der Mobiltelefonie, Sicherheitschips für Bezahlkarten und Zugangsberechtigungskarten sowie chipbasierte Lösungen für Reisepässe, Personalausweise und sonstige behördliche Dokumente.",Infineon
1,So liefert Infineon beispielsweise einen beträchtlichen Teil der Chips für den neuen deutschen Personalausweis.,Infineon
1,"Darüber hinaus entwickelt CSS Lösungen für Anwendungen mit hohen Sicherheitsanforderungen wie zum Beispiel Bezahlfernsehen, Trusted Computing sowie der Near Field Communication (NFC).",Infineon
1,Der Umsatz dieser Sparte lag 2019 bei 642 Mio.,Infineon
1,Euro.Die beiden Divisionen IPC und PMM entstanden durch Aufteilung des Geschäftsbereichs Industrial & Multimarket am 1.,Infineon
1,Januar 2011.,Infineon
1,"
Aktivitäten nach Regionen
Infineon ist weltweit tätig und steuert seine Aktivitäten auch über Landesgesellschaften: in den Vereinigten Staaten aus Milpitas (Kalifornien), im asiatisch-pazifischen Raum aus Singapur und in Japan aus Tokio.",Infineon
1,"Nach Regionen aufgeteilt wurden 32 Prozent des Umsatzes in Europa, davon 15 Prozent in Deutschland, 12 Prozent in Nordamerika, 7 Prozent in Japan, 15 Prozent im asiatisch-pazifischen Raum und 34 Prozent in der Region Greater China erzielt.",Infineon
1,"
Tochterunternehmen
Die Danube Integrated Circuit Engineering GmbH & Co. KG (DICE) mit Sitz in Linz konzentriert sich auf die Entwicklung von ICs für Radarsysteme der Automobil- und Industriebranche.",Infineon
1,Außerdem werden ICs für die mobile Kommunikation und Navigation angeboten.,Infineon
1,Infineon ist seit 2000 an der DICE mehrheitlich beteiligt.,Infineon
1,Seit 2019 hält Infineon 100 % an der DICE.Die Infineon Technologies IT Services GmbH wurde 2004 gegründet und betreut von Klagenfurt aus wesentliche Teile der weltweiten IT von Infineon.,Infineon
1,Infineon hält 100 % der Infineon Technologies IT Services GmbH.Die Infineon Technologies Bipolar GmbH mit Sitz in Warstein ist seit 2007 ein gemeinschaftliches Tochterunternehmen von Infineon und Siemens.,Infineon
1,Infineon hält 60 % der Unternehmensanteile und Siemens 40 %.,Infineon
1,"
Geschichte
Ausgliederung aus Siemens
Die Siemens AG hatte Infineon im Jahr 1999 ausgegliedert und dann an die Börse gebracht, da sich der enorme Kapitalbedarf der Halbleiterindustrie am besten über die Börse finanzieren lässt und Siemens das Geschäft zu zyklisch war.",Infineon
